State,Abb
Andaman & Nicobar Islands,AN
Andhra Pradesh,AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BR
Chandigarh,CH
Chhattisgarh,CT
Dadra & Nagar Haveli,DN
Daman & Diu,DD
Goa,GA
Gujarat,GJ
Haryana,HR
Himachal Pradesh,HP
Jammu & Kashmir,JK
Jharkhand,JH
Karnataka,KA
Kerala,KL
Lakshadweep,LD
Madhya Pradesh,MP
Maharashtra,MH
Manipur,MN
Meghalaya,ML
Mizoram,MZ
Nagaland,NL
NCT Delhi,DL
Odisha,OR
Puducherry,PY
Punjab,PB
Rajasthan,RJ
Sikkim,SK
Tamil Nadu,TN
Telangana,TS
Tripura,TR
Uttarakhand,UK
West Bengal,WB
